Full Name,First Name,Last Name,District / State,Type,Party,First Elected,Gender,Race/ Ethnicity,Religion,LGBTQ,Pre-2020 Incumbent,Senate Class,Birthday,Age,Twitter,Facebook,YouTube,Prior Experience,Education,Veteran?
Matt Cartwright,Matt,Cartwright,Pennsylvania's 8th,Representative,Democratic,2012,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,5/1/1961,60,RepCartwright,CongressmanMattCartwright,,Attorney,"Hamilton College, New York (BA)University of Pennsylvania (JD)",No
Matt Gaetz,Matt,Gaetz,Florida's 1st,Representative,Republican,2016,Man,White - Non-Hispanic,Christian - Protestant - Baptist,No,Won,N/A,5/7/1982,39,RepMattGaetz,CongressmanMattGaetz,,Florida House of Representatives,Florida State University (BS)College of William & Mary (JD),No
Matt Rosendale,Matt,Rosendale,Montana's At-Large,Representative,Republican,2020,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Open - Ran for governor,N/A,7/7/1960,60,RepRosendale,,,Montana State AuditorMontana SenateMontana House of Representatives,–,No
Maxine Waters,Maxine,Waters,California's 43rd,Representative,Democratic,1990,Woman,Black - African-American,Christian - Protestant,No,Won,N/A,8/15/1938,82,RepMaxineWaters,MaxineWaters,MaxineWaters,California State Assembly,"California State University, Los Angeles (BA)",No
Melanie Stansbury,Melanie,Stansbury,New Mexico's 1st,Representative,Democratic,2021 Special,Woman,White - Non-Hispanic,  ,No,Won,N/A,1/31/1979,42,,,,New Mexico House of Representatives,Saint Mary's College of California (BA)Cornell University (MS),No
Michael Burgess,Michael,Burgess,Texas' 26th,Representative,Republican,2002,Man,White - Non-Hispanic,Christian - Protestant - Episcopalian,No,Won,N/A,12/23/1950,70,MichaelCBurgess,michaelcburgess,michaelcburgessmd,Physician,"University of North Texas (BS, MS)University of Texas, Houston (MD)University of Texas at Dallas (MS)",No
Michael Cloud,Michael,Cloud,Texas' 27th,Representative,Republican,2018 Special,Man,White - Non-Hispanic,Christian - Protestant,No,Won,N/A,5/13/1975,46,RepCloudTX,,,Chair of the Victoria County Republican Party,Oral Roberts University (BS),No
Michael Guest,Michael,Guest,Mississippi's 3rd,Representative,Republican,2018,Man,White - Non-Hispanic,Christian - Protestant - Southern Baptist,No,Won,N/A,2/4/1970,51,RepMichaelGuest,,,District Attorney for Madison and Rankin Counties,Mississippi State University (BS)University of Mississippi (JD),No
Michael McCaul,Michael,McCaul,Texas' 10th,Representative,Republican,2004,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,1/14/1962,59,RepMcCaul,michaeltmccaul,MichaelTMcCaul,AttorneyFederal prosecutor,"Trinity University (BA)St. Mary's University, Texas (JD)",No
Michael Waltz,Michael,Waltz,Florida's 6th,Representative,Republican,2018,Man,White - Non-Hispanic,Christian - Protestant,No,Won,N/A,1/31/1974,47,RepMichaelWaltz,,,U.S. ArmyIntelligence analyst,Virginia Military Institute (BS),Yes
Michelle Fischbach,Michelle,Fischbach,Minnesota's 7th,Representative,Republican,2020,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Lost,N/A,11/3/1965,55,RepFischbach,,,Lieutenant Governor of Minnesota  President of the Minnesota Senate  Minnesota Senate,St. Cloud State University (BA)William Mitchell College of Law (JD),No
Michelle Steel,Michelle,Steel,California's 48th,Representative,Republican,2020,Woman,Asian - Korean,Christian - Protestant,No,Lost,N/A,6/21/1955,66,RepSteel,,,Orange County Board of SupervisorsCalifornia State Board of Equalization,Pepperdine University (BA)University of Southern California (MBA),No
Mike Bost,Mike,Bost,Illinois' 12th,Representative,Republican,2014,Man,White - Non-Hispanic,Christian - Protestant - Southern Baptist,No,Won,N/A,12/30/1960,60,RepBost,RepBost,,Illinois House of RepresentativesFirefighter,–,Yes
Mike Doyle,Mike,Doyle,Pennsylvania's 18th,Representative,Democratic,1994,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,8/5/1953,67,USRepMikeDoyle,usrepmikedoyle,CongressmanDoyle,Pennsylvania State Senate Chief of Staff,Pennsylvania State University (BS),No
Mike Gallagher,Mike,Gallagher,Wisconsin's 8th,Representative,Republican,2016,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,3/3/1984,37,RepGallagher,RepMikeGallagher,,Political advisorU.S. Marine Corps,"Princeton University (BA)National Intelligence University (MS)Georgetown University (MA, MS, PhD)",Yes
Mike Garcia,Mike,Garcia,California's 25th,Representative,Republican,2020 Special,Man,Hispanic - Mexican,Christian - Protestant,No,Won,N/A,4/24/1976,45,repmikegarcia,RepMikeGarcia,,BusinessmanUnited States Navy,United States Naval Academy (BS)Georgetown University (MA),Yes
Mike Johnson,Mike,Johnson,Louisiana's 4th,Representative,Republican,2016,Man,White - Non-Hispanic,Christian - Protestant - Southern Baptist,No,Won,N/A,1/30/1972,49,RepMikeJohnson,RepMikeJohnson,,Louisiana House of Representatives,"Louisiana State University (BA, JD)",No
Mike Kelly,Mike,Kelly,Pennsylvania's 16th,Representative,Republican,2010,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,5/10/1948,73,MikeKellyPA,191056827594903,repmikekelly,Butler City Council,University of Notre Dame (BA),No
Mike Levin,Mike,Levin,California's 49th,Representative,Democratic,2018,Man,Hispanic - Mexican / Jewish,Christian - Roman Catholic,No,Won,N/A,10/28/1978,42,RepMikeLevin,,,Environmental activist,Stanford University (BA)Duke University (JD),No
Mike Quigley,Mike,Quigley,Illinois' 5th,Representative,Democratic,2008,Man,White - Non-Hispanic,Christian - Protestant,No,Won,N/A,10/17/1958,62,RepMikeQuigley,repmikequigley,RepMikeQuigley,Cook County Board of Commissioners,Roosevelt University (BA)University of Chicago (MPP)Loyola University Chicago (JD),No
Mike Rogers,Mike,Rogers,Alabama's 3rd,Representative,Republican,2002,Man,White - Non-Hispanic,Christian - Protestant - Southern Baptist,No,Won,N/A,7/16/1958,62,RepMikeRogersAL,CongressmanMikeDRogers,MikeRogersAL03,Calhoun County CommissionerAlabama House of Representatives,"Jacksonville State University (BA, MPA)Birmingham School of Law (JD)",No
Mike Simpson,Mike,Simpson,Idaho's 2nd,Representative,Republican,1998,Man,White - Non-Hispanic,Christian - Mormon,No,Won,N/A,9/8/1950,70,CongMikeSimpson,96007744606,CongMikeSimpson,Idaho House of RepresentativesBlackfoot City Council,Utah State University (BS)Washington University in St. Louis (DMD),No
Mike Thompson,Mike,Thompson,California's 5th,Representative,Democratic,1998,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,1/24/1951,70,RepThompson,RepMikeThompson,CongressmanMThompson,California State Senate,"Napa Valley CollegeCalifornia State University, Chico (BA, MPA)",Yes
Mike Turner,Mike,Turner,Ohio's 10th,Representative,Republican,2002,Man,White - Non-Hispanic,Christian - Protestant - Presbyterian,No,Won,N/A,1/11/1960,61,RepMikeTurner,RepMikeTurner,CongressmanTurner,Mayor of Dayton,Ohio Northern University (BA)Case Western Reserve University (JD)University of Dayton (MBA),No
Mikie Sherrill,Mikie,Sherrill,New Jersey's 11th,Representative,Democratic,2018,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,1/19/1972,49,RepSherrill,,,Assistant United States Attorney for the District of New JerseyU.S. Navy helicopter pilot,United States Naval Academy (BS)London School of Economics (MSc)Georgetown University (JD),Yes
Mo Brooks,Mo,Brooks,Alabama's 5th,Representative,Republican,2010,Man,White - Non-Hispanic,Christian - Protestant - Nondenominational,No,Won,N/A,4/29/1954,67,RepMoBrooks,RepMoBrooks,RepMoBrooks,Alabama House of RepresentativesMadison County Commissioner,Duke University (BA)University of Alabama (JD),No
Mondaire Jones,Mondaire,Jones,New York's 17th,Representative,Democratic,2020,Man,Black - African-American,Christian - Protestant - Baptist,Gay,Open - Retired,N/A,5/18/1987,34,RepMondaire,,,Attorney,Stanford University (BA)Harvard University (JD),No
Morgan Griffith,Morgan,Griffith,Virginia's 9th,Representative,Republican,2010,Man,White - Non-Hispanic,Christian - Protestant - Episcopalian,No,Won,N/A,3/15/1958,63,RepMGriffith,RepMorganGriffith,RepMorganGriffith,Virginia House of Delegates,Emory and Henry College (BA)  Washington and Lee University (JD),No
Nancy Mace,Nancy,Mace,South Carolina's 1st,Representative,Republican,2020,Woman,White - Non-Hispanic,Christian - Protestant - Nondenominational,No,Lost,N/A,12/4/1977,43,RepNancyMace,,,South Carolina House of Representatives,The Citadel (BS)University of Georgia (MS),No
Nancy Pelosi,Nancy,Pelosi,California's 12th,Representative,Democratic,1987 Special,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,3/26/1940,81,SpeakerPelosi,NancyPelosi,nancypelosi,California Democratic Party Chair,Trinity Washington University (BA),No
Nanette Barragan,Nanette,Barragan,California's 44th,Representative,Democratic,2016,Woman,Hispanic - Mexican,Christian - Roman Catholic,No,Won,N/A,9/15/1976,44,RepBarragan,CongresswomanBarragan,,Hermosa Beach City Council,"University of California, Los Angeles (BA)University of Southern California (JD)",No
Neal Dunn,Neal,Dunn,Florida's 2nd,Representative,Republican,2016,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,2/16/1953,68,drnealdunnfl2,drnealdunnfl2,,Surgeon,Washington and Lee University (BS)George Washington University (MD),Yes
Nicole Malliotakis,Nicole,Malliotakis,New York's 11th,Representative,Republican,2020,Woman,Hispanic - Cuban,Christian - Eastern Orthodox,No,Lost,N/A,11/11/1980,40,RepMalliotakis,,,New York State Assembly,Seton Hall University (BA)Wagner College (MBA),No
Nikema Williams,Nikema,Williams,Georgia's 5th,Representative,Democratic,2020,Woman,Black - African-American,Christian - Protestant - Methodist,No,Vacant - Died,N/A,7/30/1978,42,RepNikema,,,Georgia Senate Chair of the Georgia Democratic Party,Talladega College (BA),No
Norma Torres,Norma,Torres,California's 35th,Representative,Democratic,2014,Woman,Hispanic - Guatemalan,Christian - Roman Catholic,No,Won,N/A,4/4/1965,56,NormaJTorres,RepNormaTorres,,California State SenateCalifornia State AssemblyMayor of Pomona,National Labor College (BA),No
Nydia Velázquez,Nydia,Velázquez,New York's 7th,Representative,Democratic,1992,Woman,Hispanic - Puerto Rican,Christian - Roman Catholic,No,Won,N/A,3/28/1953,68,NydiaVelazquez,8037068318,nydiavelazquez,"Director, Dept. of Puerto Rican Community Affairs","University of Puerto Rico, Río Piedras (BA)New York University (MA)",No
Pat Fallon,Pat,Fallon,Texas' 4th,Representative,Republican,2020,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Vacant - Resigned,N/A,12/19/1967,53,RepPatFallon,,,Texas SenateTexas House of RepresentativesUnited States Air Force second lieutenant,University of Notre Dame (BA),Yes
Patrick McHenry,Patrick,McHenry,North Carolina's 10th,Representative,Republican,2004,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,10/22/1975,45,PatrickMcHenry,CongressmanMcHenry,CongressmanMcHenry,North Carolina House of Representatives,North Carolina State UniversityBelmont Abbey College (BA),No
Paul Gosar,Paul,Gosar,Arizona's 4th,Representative,Republican,2010,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,11/22/1958,62,RepGosar,repgosar,repgosar,President of the Northern Arizona Dental Society,"Creighton University (BS, DDS)",No
Paul Tonko,Paul,Tonko,New York's 20th,Representative,Democratic,2008,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,6/18/1949,72,RepPaulTonko,reppaultonko,reppaultonko,New York State Assembly,Clarkson University (BS),No
Pete Aguilar,Pete,Aguilar,California's 31st,Representative,Democratic,2014,Man,Hispanic - Mexican,Christian - Roman Catholic,No,Won,N/A,6/19/1979,42,reppeteaguilar,reppeteaguilar,,Mayor of Redlands,University of Redlands (BS),No
Pete Sessions,Pete,Sessions,Texas' 17th,Representative,Republican,2020,Man,White - Non-Hispanic,Christian - Protestant - Methodist,No,Open - Retired,N/A,3/22/1955,66,,,,U.S. House,Southwestern University (BS),No
Pete Stauber,Pete,Stauber,Minnesota's 8th,Representative,Republican,2018,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,5/10/1966,55,RepPeteStauber,,,St. Louis County Commission  Police lieutenant  Professional hockey player,Lake Superior State University (BA),No
Peter DeFazio,Peter,DeFazio,Oregon's 4th,Representative,Democratic,1986,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,5/27/1947,74,RepPeterDeFazio,RepPeterDeFazio,PeterDeFazio,Lane County Commissioner,Tufts University (BA)University of Oregon (MA),Yes
Peter Meijer,Peter,Meijer,Michigan's 3rd,Representative,Republican,2020,Man,White - Non-Hispanic,Christian - Protestant,No,Open - Retired,N/A,1/10/1988,33,RepMeijer,,,Businessman,United States Military AcademyColumbia University (BA)New York University (MBA),Yes
Peter Welch,Peter,Welch,Vermont's At-Large,Representative,Democratic,2006,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,5/2/1947,74,PeterWelch,PeterWelch,reppeterwelch,Vermont Senate President Pro Tempore,"College of the Holy Cross (BA)University of California, Berkeley (JD)",No
Pramila Jayapal,Pramila,Jayapal,Washington's 7th,Representative,Democratic,2016,Woman,Asian - Indian,Unknown/Refused,No,Won,N/A,9/21/1965,55,RepJayapal,RepJayapal,,Washington State Senate,Georgetown University (BA)Northwestern University (MBA),No
Raja Krishnamoorthi,Raja,Krishnamoorthi,Illinois' 8th,Representative,Democratic,2016,Man,Asian - Indian,Hindu,No,Won,N/A,7/19/1973,47,congressmanraja,congressmanraja,,Public servantAttorney,Princeton University (BS)Harvard University (JD),No
Ralph Norman,Ralph,Norman,South Carolina's 5th,Representative,Republican,2017 Special,Man,White - Non-Hispanic,Christian - Protestant - Presbyterian,No,Won,N/A,6/20/1953,68,RepRalphNorman,RepRalphNorman,,South Carolina House of RepresentativesReal estate developer,Presbyterian College (BS),No
Randy Feenstra,Randy,Feenstra,Iowa's 4th,Representative,Republican,2020,Man,White - Non-Hispanic,Christian - Protestant,No,Open - Lost in primary,N/A,1/14/1969,52,RepFeenstra,,,Iowa Senate  Sioux County Treasurer,Dordt University (BA)Iowa State University (MPA),No
Randy Weber,Randy,Weber,Texas' 14th,Representative,Republican,2012,Man,White - Non-Hispanic,Christian - Protestant - Baptist,No,Won,N/A,7/2/1953,68,TXRandy14,TXRandy14,TXRandy14,Texas House of RepresentativesPearland City Council,Alvin Community CollegeUniversity of Houston–Clear Lake (BS),No
Rashida Tlaib,Rashida,Tlaib,Michigan's 13th,Representative,Democratic,2018,Woman,Middle Eastern - Palestinian,Muslim,No,Won,N/A,7/24/1976,44,RepRashida,,,Michigan House of Representatives,Wayne State University (BA)Thomas M. Cooley Law School (JD),No
Raúl Grijalva,Raúl,Grijalva,Arizona's 3rd,Representative,Democratic,2002,Man,Hispanic - Mexican,Christian - Roman Catholic,No,Won,N/A,2/19/1948,73,RepraulGrijalva,Rep.Grijalva,raulgrijalvaaz07,Pima County Board of Supervisors,University of Arizona (BA),No
Raul Ruiz,Raul,Ruiz,California's 36th,Representative,Democratic,2012,Man,Hispanic - Mexican,Christian - Protestant - Seventh-Day Adventist,No,Won,N/A,8/25/1972,48,RepRaulRuizMD,CongressmanRaulRuizMD,repraulruiz,Emergency physician,"University of California, Los Angeles (BS)Harvard University (MD, MPP, MPH)",No
Richard Hudson,Richard,Hudson,North Carolina's 8th,Representative,Republican,2012,Man,White - Non-Hispanic,Christian - Protestant,No,Won,N/A,11/4/1971,49,RepRichHudson,RepRichHudson,RepRichHudson,Businessman,University of North Carolina at Charlotte (BA),No
Richie Neal,Richie,Neal,Massachusetts' 1st,Representative,Democratic,1988,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,2/14/1949,72,RepRichardNeal,reprichardneal,RepRichardENeal,Mayor of Springfield,Holyoke Community CollegeAmerican International College (BA)University of Hartford (MA),No
Rick Allen,Rick,Allen,Georgia's 12th,Representative,Republican,2014,Man,White - Non-Hispanic,Christian - Protestant - Methodist,No,Won,N/A,11/7/1951,69,reprickallen,CongressmanRickAllen,,Businessman,Auburn University (BS),No
Rick Crawford,Rick,Crawford,Arkansas' 1st,Representative,Republican,2010,Man,White - Non-Hispanic,Christian - Protestant - Southern Baptist,No,Won,N/A,1/22/1966,55,RepRickCrawford,RepRickCrawford,RepRickCrawford,BroadcasterBusinessman,Arkansas State University (BS),Yes
Rick Larsen,Rick,Larsen,Washington's 2nd,Representative,Democratic,2000,Man,White - Non-Hispanic,Christian - Protestant - Methodist,No,Won,N/A,6/15/1965,56,RepRickLarsen,RepRickLarsen,congressmanlarsen,Snohomish County Council,Pacific Lutheran University (BA)University of Minnesota (MPA),No
Ritchie Torres,Ritchie,Torres,New York's 15th,Representative,Democratic,2020,Man,Black - African-American / Hispanic - Puerto Rican,Christian - Protestant,Gay,Open - Retired,N/A,3/12/1988,33,RepRitchie,,,New York City Council,New York University,No
Ro Khanna,Ro,Khanna,California's 17th,Representative,Democratic,2016,Man,Asian - Indian,Hindu,No,Won,N/A,9/13/1976,44,RepRoKhanna,RepRoKhanna,,AttorneyAuthorEducator,University of Chicago (BA)Yale University (JD),No
Rob Wittman,Rob,Wittman,Virginia's 1st,Representative,Republican,2007 Special,Man,White - Non-Hispanic,Christian - Protestant - Episcopalian,No,Won,N/A,2/3/1959,62,RobWittman,RepRobWittman,RobWittman,Mayor of Montross  Westmoreland County Board of SupervisorsVirginia House of Delegates,Virginia Tech (BS)  University of North Carolina at Chapel Hill (MPH)  Virginia Commonwealth University (PhD),No
Robert Aderholt,Robert,Aderholt,Alabama's 4th,Representative,Republican,1996,Man,White - Non-Hispanic,Christian - Protestant - Congregationalist,No,Won,N/A,7/22/1965,55,Robert_Aderholt,RobertAderholt,RobertAderholt,Haleyville Municipal Judge,University of North AlabamaBirmingham–Southern College (BA)Samford University (JD),No
Robin Kelly,Robin,Kelly,Illinois' 2nd,Representative,Democratic,2013 Special,Woman,Black - African-American,Christian - Protestant - Nondenominational,No,Won,N/A,4/30/1956,65,RepRobinKelly,reprobinkelly,,Illinois House of RepresentativesChief of Staff to the Illinois TreasurerChief Administrative Officer to the Cook County President,"Bradley University (BA, MA)Northern Illinois University (PhD)",No
Rodney Davis,Rodney,Davis,Illinois' 13th,Representative,Republican,2012,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,1/5/1970,51,RodneyDavis,RepRodneyDavis,RepRodneyDavis,Congressional staffer,Millikin University (BA),No
Roger Williams,Roger,Williams,Texas' 25th,Representative,Republican,2012,Man,White - Non-Hispanic,Christian - Protestant - Disciples of Christ,No,Won,N/A,9/13/1949,71,RepRWilliams,RepRogerWilliams,,Secretary of State of Texas,Texas Christian University (BA),No
Ron Estes,Ron,Estes,Kansas' 4th,Representative,Republican,2017 Special,Man,White - Non-Hispanic,Christian - Protestant - Lutheran,No,Won,N/A,7/19/1956,64,RepRonEstes,RepRonEstes,,Kansas State Treasurer,"Tennessee Technological University (BS, MBA)",No
Ron Kind,Ron,Kind,Wisconsin's 3rd,Representative,Democratic,1996,Man,White - Non-Hispanic,Christian - Protestant - Lutheran,No,Won,N/A,3/16/1963,58,RepRonKind,repronkind,RepRonKind,County Prosecutor,Harvard University (BA)London School of Economics(MA)University of Minnesota (JD),No
Ronny Jackson,Ronny,Jackson,Texas' 13th,Representative,Republican,2020,Man,White - Non-Hispanic,Christian - Restorationist,No,Open - Retired,N/A,5/4/1967,54,RepRonnyJackson,,,Chief Medical Advisor to the PresidentPhysician to the PresidentUnited States Navy Rear admiral,Texas A&M University (BS)University of Texas Medical Branch (MD),Yes
Rosa DeLauro,Rosa,DeLauro,Connecticut's 3rd,Representative,Democratic,1990,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,3/2/1943,78,RosaDeLauro,CongresswomanRosaDeLauro,rosadelauro,Executive Director of EMILY's ListPolitical aide,"Marymount College, Tarrytown (BA)London School of Economics(MA)Columbia University (MA)",No
Ruben Gallego,Ruben,Gallego,Arizona's 7th,Representative,Democratic,2014,Man,Hispanic - Mexican/Colombian,Christian - Roman Catholic,No,Won,N/A,11/20/1979,41,RepRubenGallego,RepRubenGallego,,Arizona House of Representatives,Harvard University (BA),Yes
Russ Fulcher,Russ,Fulcher,Idaho's 1st,Representative,Republican,2018,Man,White - Non-Hispanic,Christian - Protestant,No,Won,N/A,7/19/1973,47,RepRussFulcher,,,Idaho Senate,"Boise State University (BA, MBA)",No
Salud Carbajal,Salud,Carbajal,California's 24th,Representative,Democratic,2016,Man,Hispanic - Mexican,Christian - Roman Catholic,No,Won,N/A,11/18/1964,56,RepCarbajal,repsaludcarbajal,repcarbajal,Santa Barbara County Board of Supervisors,"University of California, Santa Barbara (BA)Fielding Graduate University (MA)",Yes
Sam Graves,Sam,Graves,Missouri's 6th,Representative,Republican,2000,Man,White - Non-Hispanic,Christian - Protestant - Southern Baptist,No,Won,N/A,11/7/1963,57,RepSamGraves,118514606128,,Missouri Senate,University of Missouri (BS),No
Sanford Bishop,Sanford,Bishop,Georgia's 2nd,Representative,Democratic,1992,Man,Black - African-American,Christian - Protestant - Baptist,No,Won,N/A,2/4/1947,74,SanfordBishop,sanfordbishop,RepSanfordBishop,Georgia SenateGeorgia House of Representatives,Morehouse College (BA)Emory University (JD),Yes
Sara Jacobs,Sara,Jacobs,California's 53rd,Representative,Democratic,2020,Woman,White - Non-Hispanic,Jewish,No,Open - Retired,N/A,2/1/1989,32,RepSaraJacobs,,,Nonprofit founderPolicy advisor,"Columbia University (BA, MIA)",No
Scott DesJarlais,Scott,DesJarlais,Tennessee's 4th,Representative,Republican,2010,Man,White - Non-Hispanic,Christian - Protestant - Episcopalian,No,Won,N/A,2/21/1964,57,DesJarlaisTN04,ScottDesJarlaisTN04,ScottDesJarlaisTN04,Physician,"University of South Dakota (BS, MD)",No
Scott Fitzgerald,Scott,Fitzgerald,Wisconsin's 5th,Representative,Republican,2020,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Open - Retired,N/A,11/16/1963,57,RepFitzgerald,,,Wisconsin State Senate,University of Wisconsin–Oshkosh (BS),Yes
Scott Franklin,Scott,Franklin,Florida's 15th,Representative,Republican,2020,Man,White - Non-Hispanic,Christian - Protestant - Presbyterian,No,Open - Lost in primary,N/A,8/23/1964,56,RepFranklin,,,Lakeland City Commission,United States Naval Academy  (BA)Embry–Riddle Aeronautical University (MBA),Yes
Scott Perry,Scott,Perry,Pennsylvania's 10th,Representative,Republican,2012,Man,White - Non-Hispanic,Christian - Evangelical Protestant - United Brethren,No,Won,N/A,5/27/1962,59,RepScottPerry,repscottperry,RepScottPerry,Pennsylvania House of RepresentativesBusinessmanU.S. Army,Pennsylvania State University (BS)United States Army War College (MS),Yes
Scott Peters,Scott,Peters,California's 52nd,Representative,Democratic,2012,Man,White - Non-Hispanic,Christian - Protestant - Lutheran,No,Won,N/A,6/17/1958,63,RepScottPeters,RepScottPeters,,San Diego City CouncilSan Diego Port Commission,Duke University (BA)New York University (JD),No
Sean Casten,Sean,Casten,Illinois' 6th,Representative,Democratic,2018,Man,White - Non-Hispanic,Unknown/Refused,No,Won,N/A,11/23/1971,49,RepCasten,,,Entrepreneur,"Middlebury College (BA)Dartmouth College (MSEM, MS)",No
Sean Patrick Maloney,Sean Patrick,Maloney,New York's 18th,Representative,Democratic,2012,Man,White - Non-Hispanic,Christian - Roman Catholic,Gay,Won,N/A,7/30/1966,54,RepSeanMaloney,RepSeanMaloney,,Attorney,"Georgetown UniversityUniversity of Virginia (BA, JD)",No
Seth Moulton,Seth,Moulton,Massachusetts' 6th,Representative,Democratic,2014,Man,White - Non-Hispanic,Christian - Protestant,No,Won,N/A,10/24/1978,42,teammoulton,CongressmanSethMoulton,,BusinessmanActivistU.S. Marine Corps Captain,"Harvard University (BS, MBA, MPP)",Yes
Sharice Davids,Sharice,Davids,Kansas' 3rd,Representative,Democratic,2018,Woman,Native American - Ho-Chunk,Unknown/Refused,Lesbian,Won,N/A,5/22/1980,41,RepDavids,,,AttorneyMixed martial artist,Haskell Indian Nations UniversityUniversity of KansasJohnson County Community CollegeUniversity of Missouri–Kansas City (BA)Cornell University (JD),No
Sheila Jackson Lee,Sheila,Jackson Lee,Texas' 18th,Representative,Democratic,1994,Woman,Black - Jamaican,Christian - Protestant - Seventh-Day Adventist,No,Won,N/A,1/12/1950,71,JacksonLeeTX18,CongresswomanSheilaJacksonLee,TX18SJL,Houston City Council  Municipal judge,Yale University (BA)  University of Virginia (JD),No
Steny Hoyer,Steny,Hoyer,Maryland's 5th,Representative,Democratic,1981 Special,Man,White - Non-Hispanic,Christian - Protestant - Baptist,No,Won,N/A,6/14/1939,82,LeaderHoyer,WhipHoyer,LeaderHoyer,President of the Maryland State SenateMaryland Board of Higher Education,"University of Maryland, College Park (BA)Georgetown University (JD)",No
Stephanie Bice,Stephanie,Bice,Oklahoma's 5th,Representative,Republican,2020,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Lost,N/A,11/11/1973,47,RepBice,,,Oklahoma Senate,"Oklahoma State University, Stillwater (BS)",No
Stephanie Murphy,Stephanie,Murphy,Florida's 7th,Representative,Democratic,2016,Woman,Asian - Vietnamese,Christian - Protestant,No,Won,N/A,9/16/1978,42,RepStephMurphy,RepStephMurphy,RepStephMurphy,AdvisorEducator,College of William & Mary (BA)Georgetown University (MS),No
Stephen Lynch,Stephen,Lynch,Massachusetts' 8th,Representative,Democratic,2001 Special,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,3/31/1955,66,RepStephenLynch,repstephenlynch,RepLynch,Massachusetts SenateMassachusetts House of Representatives,Wentworth Institute of Technology (BS)Boston College (JD)Harvard University (MPA),No
Steve Chabot,Steve,Chabot,Ohio's 1st,Representative,Republican,"2010, 1994-2008",Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,1/22/1953,68,RepSteveChabot,RepSteveChabot,congressmanchabot,Cincinnati City CouncilHamilton County CommissionerU.S. House,College of William & Mary (BA)Northern Kentucky University (JD),No
Steve Cohen,Steve,Cohen,Tennessee's 9th,Representative,Democratic,2006,Man,White - Non-Hispanic,Jewish,No,Won,N/A,5/24/1949,72,RepCohen,CongressmanSteveCohen,repcohen,Tennessee SenateAttorney,Vanderbilt University (BA)University of Memphis (JD),No
Steve Scalise,Steve,Scalise,Louisiana's 1st,Representative,Republican,2008 Special,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,10/6/1965,55,SteveScalise,RepSteveScalise,RepSteveScalise,Louisiana State SenateLouisiana House of Representatives,Louisiana State University (BS),No
Steve Womack,Steve,Womack,Arkansas' 3rd,Representative,Republican,2010,Man,White - Non-Hispanic,Christian - Protestant - Southern Baptist,No,Won,N/A,2/18/1957,64,Rep_SteveWomack,RepSteveWomack,CongressmanWomack,Mayor of Rogers,Arkansas Tech University (BA),Yes
Steven Horsford,Steven,Horsford,Nevada's 4th,Representative,Democratic,"2018, 2012-2014",Man,Black - African-American/Trinidadian,Christian - Protestant - Baptist,No,Won,N/A,4/29/1973,48,RepHorsford,,,U.S. HouseNevada Senate,"University of Nevada, Reno (BA)",No
Steven Palazzo,Steven,Palazzo,Mississippi's 4th,Representative,Republican,2010,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,2/21/1970,51,CongPalazzo,stevenpalazzo,CongressmanPalazzo,Mississippi House of Representatives,"University of Southern Mississippi (BA, MPA)",Yes
Susan Wild,Susan,Wild,Pennsylvania's 7th,Representative,Democratic,2018 Special,Woman,White - Non-Hispanic,Jewish,No,Won,N/A,6/7/1957,64,RepSusanWild,,,Solicitor of Allentown,American University (BA)George Washington University (JD),No
Susie Lee,Susie,Lee,Nevada's 3rd,Representative,Democratic,2018,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,11/7/1966,54,RepSusieLee,,,Education advocate,"Carnegie Mellon University (BA, MS)",No
